date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:48:24	596/596	---M-Z	404	error ('Not%20Found')	text/html	etag:%22a100e-3fe-527f31e13e001%22	http://template.themeton.com/robots.txt		(from )
16:48:25	83487/83487	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Nov%202023%2009:48:25%20GMT	http://template.themeton.com/tenguu-html/?storefront=envato-elements	C:/Users/tranm/OneDrive/Desktop/giaodien/giaodien/template.themeton.com/tenguu-html/index04b9.html	(from )
16:48:25	2186/2186	---M--	200	added ('OK')	image/png	etag:%22589c6b9b-88a%22	http://template.themeton.com/tenguu-html/images/favicon.png	C:/Users/tranm/OneDrive/Desktop/giaodien/giaodien/template.themeton.com/tenguu-html/images/favicon.png	(from http://template.themeton.com/tenguu-html/?storefront=envato-elements)
16:48:27	217569/217569	---MCZ	200	added ('OK')	text/css	etag:W/%22589c513c-351e1%22	http://template.themeton.com/tenguu-html/css/packages.min.css	C:/Users/tranm/OneDrive/Desktop/giaodien/giaodien/template.themeton.com/tenguu-html/css/packages.min.css	(from http://template.themeton.com/tenguu-html/?storefront=envato-elements)
16:48:27	112022/112022	---MCZ	200	added ('OK')	text/css	etag:W/%2258d27e7f-1b596%22	http://template.themeton.com/tenguu-html/css/default.css	C:/Users/tranm/OneDrive/Desktop/giaodien/giaodien/template.themeton.com/tenguu-html/css/default.css	(from http://template.themeton.com/tenguu-html/?storefront=envato-elements)
16:48:27	83487/83487	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Nov%202023%2009:48:27%20GMT	http://template.themeton.com/tenguu-html/	C:/Users/tranm/OneDrive/Desktop/giaodien/giaodien/template.themeton.com/tenguu-html/index.html	(from http://template.themeton.com/tenguu-html/?storefront=envato-elements)
16:48:27	4421/4421	---M--	200	added ('OK')	image/png	etag:%22589c513c-1145%22	http://template.themeton.com/tenguu-html/images/user.png	C:/Users/tranm/OneDrive/Desktop/giaodien/giaodien/template.themeton.com/tenguu-html/images/user.png	(from http://template.themeton.com/tenguu-html/?storefront=envato-elements)
16:48:28	26656/26656	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20Nov%202023%2009:48:27%20GMT	http://template.themeton.com/tenguu-html/blog.php	C:/Users/tranm/OneDrive/Desktop/giaodien/giaodien/template.themeton.com/tenguu-html/blog.html	(from http://template.themeton.com/tenguu-html/?storefront=envato-elements)
16:48:28	33210/33210	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20Nov%202023%2009:48:28%20GMT	http://template.themeton.com/tenguu-html/single.php	C:/Users/tranm/OneDrive/Desktop/giaodien/giaodien/template.themeton.com/tenguu-html/single.html	(from http://template.themeton.com/tenguu-html/?storefront=envato-elements)
16:48:29	3509/3509	---M--	200	added ('OK')	image/png	etag:%2258c63252-db5%22	http://template.themeton.com/tenguu-html/images/header/icon1.png	C:/Users/tranm/OneDrive/Desktop/giaodien/giaodien/template.themeton.com/tenguu-html/images/header/icon1.png	(from http://template.themeton.com/tenguu-html/?storefront=envato-elements)
16:48:30	4414/4414	---M--	200	added ('OK')	image/png	etag:%22589c6b9b-113e%22	http://template.themeton.com/tenguu-html/images/logo.png	C:/Users/tranm/OneDrive/Desktop/giaodien/giaodien/template.themeton.com/tenguu-html/images/logo.png	(from http://template.themeton.com/tenguu-html/?storefront=envato-elements)
16:48:30	4936/4936	---M--	200	added ('OK')	image/png	etag:%2258c63252-1348%22	http://template.themeton.com/tenguu-html/images/header/icon2.png	C:/Users/tranm/OneDrive/Desktop/giaodien/giaodien/template.themeton.com/tenguu-html/images/header/icon2.png	(from http://template.themeton.com/tenguu-html/?storefront=envato-elements)
16:48:30	3010/3010	---M--	200	added ('OK')	image/png	etag:%2258c63252-bc2%22	http://template.themeton.com/tenguu-html/images/header/icon3.png	C:/Users/tranm/OneDrive/Desktop/giaodien/giaodien/template.themeton.com/tenguu-html/images/header/icon3.png	(from http://template.themeton.com/tenguu-html/?storefront=envato-elements)
16:48:43	98329/98329	---M--	200	added ('OK')	image/jpeg	etag:%22589c513c-18019%22	http://template.themeton.com/tenguu-html/images/carousel/movie-1.jpg	C:/Users/tranm/OneDrive/Desktop/giaodien/giaodien/template.themeton.com/tenguu-html/images/carousel/movie-1.jpg	(from http://template.themeton.com/tenguu-html/?storefront=envato-elements)
16:49:01	133585/133585	---M--	200	added ('OK')	image/jpeg	etag:%22589c513c-209d1%22	http://template.themeton.com/tenguu-html/images/carousel/movie-2.jpg	C:/Users/tranm/OneDrive/Desktop/giaodien/giaodien/template.themeton.com/tenguu-html/images/carousel/movie-2.jpg	(from http://template.themeton.com/tenguu-html/?storefront=envato-elements)
16:49:21	152254/152254	---M--	200	added ('OK')	image/jpeg	etag:%22589c513c-252be%22	http://template.themeton.com/tenguu-html/images/carousel/movie-3.jpg	C:/Users/tranm/OneDrive/Desktop/giaodien/giaodien/template.themeton.com/tenguu-html/images/carousel/movie-3.jpg	(from http://template.themeton.com/tenguu-html/?storefront=envato-elements)
16:49:30	481500/481500	---M--	200	added ('OK')	image/jpeg	etag:%22589c513c-758dc%22	http://template.themeton.com/tenguu-html/images/product/feature-item.jpg	C:/Users/tranm/OneDrive/Desktop/giaodien/giaodien/template.themeton.com/tenguu-html/images/product/feature-item.jpg	(from http://template.themeton.com/tenguu-html/?storefront=envato-elements)
16:49:41	158274/158274	---M--	200	added ('OK')	image/jpeg	etag:%22589c513c-26a42%22	http://template.themeton.com/tenguu-html/images/carousel/movie-4.jpg	C:/Users/tranm/OneDrive/Desktop/giaodien/giaodien/template.themeton.com/tenguu-html/images/carousel/movie-4.jpg	(from http://template.themeton.com/tenguu-html/?storefront=envato-elements)
